name
銀行（都市・信託・政府系）、信金
証券会社、投資ファンド、投資関連
生命保険、損害保険
投信投資顧問
クレジット、信販、リース
商品取引
消費者金融、事業者金融
その他金融関連
コンサルティング、シンクタンク
監査法人、税理士法人、法律事務所
SIer、ソフト開発、システム運用
インターネット
通信、ISP、データセンター
制御システム、組込みソフトウェア
その他ＩＴ・通信関連
電力、ガス、エネルギー
航空、鉄道、運輸、倉庫
不動産関連、住宅
建築、土木、設備工事
総合商社
総合電機、家電、AV機器
自動車、自動車部品、輸送機器
コンピュータ、通信機器、OA機器関連
半導体、電子、精密機器
重電、産業用電気機器、プラント関連
鉄鋼、非鉄金属
機械関連
化学、石油、ガラス、セラミック
食品、飲料
日用品、化粧品
ファッション、アパレル、繊維
インテリア、雑貨、文具、スポーツ
印刷、紙・パルプ、書籍、パネル
住宅設備、建材、エクステリア
ゲーム関連、玩具
その他メーカー・商社
医薬品、医療機器
治験、臨床試験、医薬営業受託
調剤薬局
バイオ関連
病院、医療機関
その他医療・医薬サービス
放送、出版、新聞、映像、音響
広告代理店、PR、SP、デザイン
その他マスコミ関連
小売（百貨店・専門・CVS・量販店）
通信販売
物品レンタル
フードサービス、飲食
旅行、ホテル、旅館、レジャー
冠婚葬祭
人材サービス
コールセンター、業務請負
情報サービス、リサーチ
教育、研修サービス
警備、メンテナンス
介護、福祉関連サービス
美容、エステ、リラクゼーション
環境サービス
受託製造（設計・開発・加工）
その他小売、外食、レジャー、サービス
官公庁
独立行政、社団、財団、学校法人
非政府組織(NGO)、非営利団体(NPO)
農業、林業、水産、畜産
鉱業
すべての業界
