logo,name,link,totalRate,category,reviewNums,workingHours,consumeDayOff,jobArray,rateArray
https://image.vorkers.com/resize/70x-/logo/company/7369-f1ddf25557b74ff7d2f4688f25f40740.png,株式会社みずほ銀行,https://www.vorkers.com/company.php?m_id=a0910000000G2Ox,3.18,銀行（都市・信託・政府系）、信金業界,7720,29.0 ｈ,65.90%,"['営業 ：838人', '事務 ：124人', '特定職 ：58人', '総合職 ：43人', 'RM ：42人', '本部 ：35人', '管理 ：34人', '一般職 ：30人', '企画 ：28人', '基幹職 ：22人']","['2.9', '4.7', '3.0', '2.9', '2.9', '2.7', '2.8', '3.3']"
https://image.vorkers.com/resize/70x-/logo/company/2102-9dd49de80ed4b7638e6c87990908c191.png,株式会社東芝,https://www.vorkers.com/company.php?m_id=a0910000000FrN1,3.16,総合電機、家電、AV機器業界,7306,34.6 ｈ,65.50%,"['営業 ：198人', '技術 ：154人', '設計 ：106人', '開発 ：94人', '研究開発 ：87人', 'エンジニア・SE ：62人', '企画 ：50人', '管理 ：48人', '半導体 ：47人', '事務 ：42人']","['2.9', '3.6', '2.9', '3.2', '3.1', '2.9', '2.7', '3.5']"
https://image.vorkers.com/resize/70x-/logo/company/7385-3b9a76dd515d9a91d3a3351782b2b354.png,株式会社三井住友銀行,https://www.vorkers.com/company.php?m_id=a0910000000G2Qp,3.62,銀行（都市・信託・政府系）、信金業界,7291,34.0 ｈ,71.30%,"['営業 ：706人', '総合職 ：159人', '事務 ：99人', '企画 ：40人', '一般職 ：35人', '本部 ：31人', 'BC職 ：29人', 'リテール ：21人', '管理 ：20人', '法人 ：20人']","['3.2', '4.8', '3.2', '3.5', '3.2', '2.7', '3.4', '3.9']"
https://image.vorkers.com/resize/70x-/logo/company/2210-c72f78f57478c89f174b033f32c0ccb4.png,パナソニック株式会社,https://www.vorkers.com/company.php?m_id=a0910000000FrQN,3.55,総合電機、家電、AV機器業界,7053,28.4 ｈ,60.60%,"['営業 ：244人', '開発 ：140人', '技術 ：113人', '企画 ：83人', '管理 ：72人', '研究開発 ：56人', 'エンジニア・SE ：49人', 'マーケティング ：42人', '経理 ：32人', '生産技術 ：32人']","['3.0', '4.7', '3.3', '3.0', '3.5', '3.4', '3.0', '3.7']"
https://image.vorkers.com/resize/70x-/logo/company/1238-1887b789406ab53fac44928f514756bf.png,株式会社ワークスアプリケーションズ,https://www.vorkers.com/company.php?m_id=a0910000000Fr0k,3.48,SIer、ソフト開発、システム運用業界,6888,49.9 ｈ,75.10%,"['開発 ：454人', 'コンサルタント ：315人', '営業 ：213人', 'エンジニア・SE ：172人', '管理 ：44人', 'マネージャー ：22人', '人事 ：17人', '事務 ：13人', '製品開発 ：11人', '保守 ：9人']","['3.5', '2.5', '2.0', '4.5', '3.4', '4.3', '3.4', '3.0']"
https://image.vorkers.com/resize/70x-/logo/company/2216-67c843e89d940980bc9692d03111bf09.png,ソニー株式会社,https://www.vorkers.com/company.php?m_id=a0910000000FrQT,3.97,総合電機、家電、AV機器業界,6682,36.0 ｈ,59.10%,"['エンジニア・SE ：129人', '開発 ：113人', 'マーケティング ：100人', '設計 ：89人', '営業 ：79人', '管理 ：78人', '企画 ：71人', '研究開発 ：61人', '半導体 ：47人', '技術 ：45人']","['3.6', '4.5', '2.8', '4.0', '3.6', '4.1', '3.5', '4.0']"
https://image.vorkers.com/resize/70x-/logo/company/6710-4c836dc5a16eecbefd90dca4590adb90.png,日本ヒューレット・パッカード株式会社,https://www.vorkers.com/company.php?m_id=a0910000000G22E,3.38,コンピュータ、通信機器、OA機器関連業界,6667,35.9 ｈ,45.80%,"['エンジニア・SE ：305人', '営業 ：278人', 'コンサルタント ：91人', 'サポート ：36人', 'マーケティング ：36人', 'プロジェクトマネージャー ：34人', 'サービス ：32人', '管理 ：32人', 'マネージャー ：31人', '開発 ：13人']","['2.9', '4.4', '2.3', '3.2', '3.5', '4.1', '2.8', '2.9']"
https://image.vorkers.com/resize/70x-/logo/company/4115-fb6b70e492d9ae47cdfaa07ad078cc13.png,アビームコンサルティング株式会社,https://www.vorkers.com/company.php?m_id=a0910000000G0Zf,4.03,コンサルティング、シンクタンク業界,6659,43.7 ｈ,60.40%,"['コンサルタント ：837人', 'マネージャー ：96人', 'P&T ：39人', 'FMC ：38人', 'プロセス ：21人', 'SCM ：21人', 'アナリスト ：19人', 'テクノロジー ：16人', '管理 ：15人', '金融 ：14人']","['3.7', '3.9', '3.0', '4.3', '4.0', '4.2', '3.6', '3.6']"
https://image.vorkers.com/resize/70x-/logo/company/7753-aaef37f4410a68ba2eab938f5694b046.png,株式会社リクルートキャリア,https://www.vorkers.com/company.php?m_id=a0910000000G2dW,4.46,人材サービス業界,6526,41.2 ｈ,46.00%,"['営業 ：811人', 'キャリアアドバイザー ：94人', '企画 ：93人', 'RA ：52人', 'アドバイザー ：39人', 'スタッフ ：32人', 'マネージャー ：30人', 'CA ：29人', '人事 ：21人', '中途 ：18人']","['4.4', '4.1', '2.9', '4.8', '4.4', '4.7', '4.6', '4.2']"
https://image.vorkers.com/resize/70x-/logo/company/7861-7fffd833dcc64254dca6c5a76ef62987.png,野村證券株式会社,https://www.vorkers.com/company.php?m_id=a0910000000G36c,3.88,証券会社、投資ファンド、投資関連業界,6354,30.5 ｈ,51.10%,"['営業 ：748人', '投資銀行 ：72人', '本社 ：27人', 'リテール ：26人', 'FA ：26人', '管理 ：24人', '総合職 ：16人', 'リサーチ ：13人', 'ホールセール ：13人', 'IT ：11人']","['4.0', '4.3', '3.3', '4.4', '3.1', '2.9', '3.4', '4.2']"
